titulo;url;municipio;uf;categoria;latitude;longitude;tipo_localizacao;localizacao_confirmada;qtd_municipio;qtd_categoria;data
Pessoa em situação de rua morre na Rangel Pestana;https://jr.jor.br/2025/06/13/pessoa-em-situacao-de-rua-morre-na-rangel-pestana/;Jundiaí;35;Morte;-23.178264294572728;-46.889628332426994;municipio;True;2;199;2025-06-13 00:00:00
Corpos esquecidos: só 6 das 27 capitais contabilizam mortes de pessoas em situação de rua;https://www.brasildefato.com.br/2025/08/28/corpos-esquecidos-so-6-das-27-capitais-contabilizam-mortes-de-pessoas-em-situacao-de-rua/;Alegre;32;Morte;-20.75315080363283;-41.52381740542029;municipio;True;7;199;2025-08-28 00:00:00
Homem morre após ser atropelado por ônibus no Terminal Parque Dom Pedro II;https://www.cnnbrasil.com.br/nacional/sudeste/sp/homem-morre-apos-ser-atropelado-por-onibus-no-terminal-parque-dom-pedro-ii/;Central;29;Morte;-11.145524147230462;-42.127202690972766;municipio;True;23;199;2026-04-11 12:35:43-03:00
Homem em situação de rua é encontrado morto no Centro de Curitiba;https://cbncuritiba.com.br/materias/homem-em-situacao-de-rua-e-encontrado-morto-no-centro-de-curitiba/;Central;29;Morte;-11.118179159114492;-42.1080542984479;municipio;True;23;199;2025-08-11 19:02:43
Moradores pedem justiça por pessoa em situação de rua morta por policial;https://www.em.com.br/gerais/2025/02/7069403-moradores-pedem-justica-por-pessoa-em-situacao-de-rua-morta-por-policial.html;Central;29;Morte;-11.152098964872192;-42.09282552621517;municipio;True;23;199;2025-02-07 00:00:00
Polícia investiga morte de homem em situação de rua a metros de UPA em SP;https://www.cnnbrasil.com.br/nacional/sudeste/sp/policia-investiga-morte-de-homem-em-situacao-de-rua-a-metros-de-upa-em-sp/;Barão;43;Morte;-29.370732997913738;-51.510710786051014;municipio;True;2;199;2025-04-28 15:55:38-03:00
São Paulo tem 2ª morte de pessoa em situação de rua durante onda de frio;https://www.bol.uol.com.br/noticias/2024/06/02/morte-pessoa-situacao-de-rua-noite-frio-sp.htm;São Paulo;35;Outros;-23.51414651678811;-46.63815252566418;municipio;True;9;93;2024-06-02 00:00:00
Duas pessoas em situação de rua são mortas em menos de 10 horas em Ipatinga;https://www.otempo.com.br/cidades/2024/11/11/duas-pessoas-em-situacao-de-rua-sao-mortas-em-menos-de-10-horas-;Cláudio;31;Morte;-20.447225665515095;-44.76037134146526;municipio;True;1;199;2024-11-11 00:00:00
Ladrão morto a tiros em Ipatinga era pessoa em situação de rua;https://www.diariodoaco.com.br/noticia/0121676-ladrao-morto-a-tiros-em-ipatinga-era-pessoa-em-situacao-de-rua;Barra;29;Morte;-11.079548807718192;-43.15802216062836;municipio;True;5;199;2026-04-16 13:55:37.674514
Três pessoas em situação de rua são mortas a tiros no Dois de Julho;https://bahia.ba/salvador/tres-pessoas-em-situacao-de-rua-sao-mortas-a-tiros-no-dois-de-julho/;Liberdade;31;Outros;-22.036699348127698;-44.31350229183445;municipio;True;4;93;2026-04-16 13:55:40.576123
Duas pessoas em situação de rua são encontradas mortas em diferentes pontos do Centro de Goiânia;https://aredacao.com.br/duas-pessoas-em-situacao-de-rua-sao-encontradas-mortas-em-diferentes-pontos-do-centro-de-goiania/;Goiânia;52;Morte;-16.687440473293815;-49.26427808840892;municipio;True;1;199;2026-04-09 12:06:04+00:00
Homem em situação de rua é morto durante briga em Niterói;https://enfoco.com.br/noticias/policia/homem-em-situacao-de-rua-e-morto-durante-briga-em-niteroi-104983;Niterói;33;Morte;-22.888490501275612;-43.08448235415183;municipio;True;1;199;2024-02-20 09:31:16-03:00
;https://bvsms.saude.gov.br/bvs/publicacoes/saude_populacao_situacao_rua.pdf;Não Identificado;NI;Outros;-14.24718603229185;-51.934231823459896;municipio;True;75;93;2026-04-16 13:55:47.012922
Vigilante suspeito de executar pessoa em situação rua é preso;https://atarde.com.br/portalmunicipios/portalmunicipioscentronorte/vigilante-suspeito-de-executar-pessoa-em-situacao-rua-e-preso-1221266;Faro;15;Morte;-2.18438116528187;-56.724769188677186;municipio;True;1;199;2023-03-03 12:40:00
Mortalidade de pessoas em situação de rua é 348% maior do que da população geral, diz pesquisa;https://trilhasdecuidadonasruas.ensp.fiocruz.br/mortalidade-de-pessoas-em-situacao-de-rua-e-348-maior-do-que-da-populacao-geral-diz-pesquisa/;Barreiras;29;Morte;-12.140933569904595;-45.013534871180354;municipio;True;2;199;2025-10-29 12:50:44+00:00
Moradora em situação de rua foge de hospital e é encontrada morta;https://ac24horas.com/2024/11/07/moradora-em-situacao-de-rua-foge-do-ps-e-e-encontrada-morta-em-rio-branco/;Oliveira;31;Outros;-20.687423606772285;-44.81111689572066;municipio;True;1;93;2024-11-07 00:00:00
Tragédia em mini cracolândia de Rio Branco: Mulher em situação de rua é Encontrada Morta;https://oaltoacre.com/tragedia-em-mini-cracolandia-de-rio-branco-mulher-em-situacao-de-rua-e-encontrada-morta/;Cruzeiro;35;Outros;-22.58044679382804;-44.965032185471316;municipio;True;2;93;2024-11-08 14:38:11-05:00
Mulher em situação de rua é morta e corpo é deixado dentro de mala;https://d24am.com/brasil/mulher-em-situacao-de-rua-e-morta-e-corpo-e-deixado-dentro-de-mala/;Mossoró;24;Outros;-5.180641022207301;-37.35821834079568;municipio;True;1;93;2026-03-19 12:24:58-04:00
O que se sabe sobre o esquema que envolveu o assassinato de mulher em situação de rua para resgatar seguro de R$ 4 milhões;https://g1.globo.com/rj/rio-de-janeiro/noticia/2024/10/11/o-que-se-sabe-sobre-o-esquema-que-envolveu-o-assassinato-de-mulher-em-situacao-de-rua-para-resgatar-seguro-de-r-4-milhoes.ghtml;Não Identificado;NI;Outros;-14.229607127559245;-51.908647786847204;municipio;True;75;93;2024-10-11 00:00:00
Corpo de sem-teto morto no Rio é liberado para enterro em Salvador;https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/10/21/liberacao-corpo-bahia-sem-teto-morto-no-rio-sepultamento-salvador.ghtml;Salvador;29;Morte;-12.960004914769362;-38.502038269584126;municipio;True;1;199;2025-10-21 00:00:00
Sem-teto morto por policiais em Los Angeles não era francês;https://www.terra.com.br/esportes/sem-teto-morto-por-policiais-em-los-angeles-nao-era-frances,995385e5422eb410VgnCLD200000b2bf46d0RCRD.html;Tiros;31;Morte;-18.996167284187685;-45.95416137888792;municipio;True;6;199;2015-03-04 01:48:44
sem teto – Página 3 – andradetalis;https://andradetalis.wordpress.com/tag/sem-teto/page/3/;Pedra;26;Outros;-8.484410521796015;-36.94755691177805;municipio;True;2;93;2026-04-16 13:56:02.067388
Homem mata idoso sem-teto a pauladas na Liberdade;https://www.ibahia.com/salvador/homem-mata-idoso-sem-teto-a-pauladas-na-liberdade;Liberdade;31;Morte;-22.037938552615593;-44.304389009131135;municipio;True;4;199;2022-03-18 17:19:00
Defensoria consegue liberação do corpo de 'Bahia', sem-teto morto no Rio, para sepultamento em Salvador;https://diariodoestadogo.com.br/defensoria-consegue-liberacao-do-corpo-de-bahia-sem-teto-morto-no-rio-para-sepultamento-em-salvador-550409/;Estação;43;Morte;-27.897799181997833;-52.244860574362775;municipio;True;5;199;2025-10-21 18:12:50+00:00
Sem-teto é morto a pauladas e suspeito diz que 'se adiantou' diante de suposta ameaça;https://www.gazetadigital.com.br/editorias/policia/sem-teto-e-morto-a-pauladas-e-suspeito-diz-que-se-adiantou-diante-de-suposta-ameaca/840295;Passagem;25;Morte;-7.1537233760085925;-37.04429649346439;municipio;True;3;199;2026-04-16 13:56:08.278316
